Date,Unnamed: 0,Sale
2019-08-24,600,59800.87
2019-08-25,601,59366.85
2019-08-26,602,52104.176
2019-08-27,603,43122.78
2019-08-28,604,38914.336
2019-08-29,605,42350.496
2019-08-30,606,61794.414
2019-08-31,607,63718.664
2019-09-01,608,73902.65
2019-09-02,609,52212.28
2019-09-03,610,44150.297
2019-09-04,611,42515.09
2019-09-05,612,45340.844
2019-09-06,613,60569.02
2019-09-07,614,56596.93
2019-09-08,615,55095.836
2019-09-09,616,51351.312
2019-09-10,617,41308.21
2019-09-11,618,40763.004
2019-09-12,619,46008.594
2019-09-13,620,63202.52
2019-09-14,621,58976.43
2019-09-15,622,61613.01
2019-09-16,623,66372.37
2019-09-17,624,41409.59
2019-09-18,625,39430.383
2019-09-19,626,45919.254
2019-09-20,627,55239.242
2019-09-21,628,63836.19
2019-09-22,629,63531.07
2019-09-23,630,55812.207
2019-09-24,631,41375.1
2019-09-25,632,43051.97
2019-09-26,633,44998.84
2019-09-27,634,62398.11
2019-09-28,635,56870.887
2019-09-29,636,59847.793
2019-09-30,637,56169.32
2019-10-01,638,45875.918
2019-10-02,639,28034.4
2019-10-03,640,36903.58
2019-10-04,641,45731.48
2019-10-05,642,43378.305
2019-10-06,643,47617.28
2019-10-07,644,43218.1
2019-10-08,645,24421.535
2019-10-09,646,22351.332
2019-10-10,647,34343.512
2019-10-11,648,44165.895
2019-10-12,649,46601.07
2019-10-13,650,47130.785
2019-10-14,651,36878.48
2019-10-15,652,33093.783
2019-10-16,653,37966.69
2019-10-17,654,34308.967
2019-10-18,655,37077.613
2019-10-19,656,42148.742
2019-10-20,657,45564.96
2019-10-21,658,37634.111
2019-10-22,659,30308.92
2019-10-23,660,28028.717
2019-10-24,661,35169.531
2019-10-25,662,46428.12
2019-10-26,663,41728.25
2019-10-27,664,38759.906
2019-10-28,665,37013.951
2019-10-29,666,22395.193
2019-10-30,667,30327.715
2019-10-31,668,40258.223
2019-11-01,669,49759.42
2019-11-02,670,40277.7
2019-11-03,671,40012.26
2019-11-04,672,40463.613
2019-11-05,673,24083.273
2019-11-06,674,23470.07
